pmid	ti	ab	fau	dp
2803624	Improving aerobic capacity in healthy older adults does not necessarily lead to improved cognitive performance.	The effects of aerobic exercise training in a sample of 85 older adults were investigated. Ss were assigned randomly to either an aerobic exercise group, a nonaerobic exercise (yoga) group, or a waiting-list control group. Following 16 weeks of the group-specific protocol, all of the older Ss received 16 weeks of aerobic exercise training. The older adults demonstrated a significant increase in aerobic capacity (cardiorespiratory fitness). Performance on reaction-time tests of attention and memory retrieval was slower for the older adults than for a comparison group of 24 young adults, and there was no improvement in the older adults' performance on these tests as a function of aerobic exercise training. Results suggest that exercise-related changes in older adults' cognitive performance are due either to extended periods of training or to cohort differences between physically active and sedentary individuals.	Madden, D J;Blumenthal, J A;Allen, P A;Emery, C F	1989 Sep
2768768	Cardiovascular and behavioral effects of aerobic exercise training in healthy older men and women.	The cardiovascular and behavioral adaptations associated with a 4-month program of aerobic exercise training were examined in 101 older men and women (mean age = 67 years). Subjects were randomly assigned to an Aerobic Exercise group, a Yoga and Flexibility control group, or a Waiting List control group. Prior to and following the 4-month program, subjects underwent comprehensive physiological and psychological evaluations. Physiological measures included measurement of blood pressure, lipids, bone density, and cardiorespiratory fitness including direct measurements of peak oxygen consumption (VO2) and anaerobic threshold. Psychological measures included measures of mood, psychiatric symptoms, and neuropsychological functioning. This study demonstrated that 4 months of aerobic exercise training produced an overall 11.6% improvement in peak VO2 and a 13% increase in anaerobic threshold. In contrast, the Yoga and Waiting List control groups experienced no change in cardiorespiratory fitness. Other favorable physiological changes observed among aerobic exercise participants included lower cholesterol levels, diastolic blood pressure levels, and for subjects at risk for bone fracture, a trend toward an increase in bone mineral content. Although few significant psychological changes could be attributed to aerobic exercise training, participants in the two active treatment groups perceived themselves as improving on a number of psychological and behavioral dimensions.	Blumenthal, J A;Emery, C F;Madden, D J;George, L K;Coleman, R E;Riddle, M W;McKee, D C;Reasoner, J;Williams, R S	1989 Sep
2594536	Health status of nurses and yoga. I. Baseline data.	In this ongoing ICMR project on "Effect of Yoga on the Health of Nurses", some baseline data on the health of nurses of Nehru Hospital, P.G.I., Chandigarh are reported. This was obtained before the start of yoga therapy in selected cases and collected with the help of six psychological tools. Out of a total of 501 nurses, 452 (90.2%) could be contacted and studied. Mean age was 30.43 years and mean years of service 9.93 years. Mean scores on the psychological tests indicated poor health status of nurses, average neuroticism, depressive tendencies and role stress. Sense of Well-Being was high in them. The data is discussed in the light of researches in this area. This is the first of a series of three articles to be published in the Journal.	Walia, I J;Mehra, P;Grover, P;Earnest, C;Verma, S K;Sanjeev	1989 Sep
21927394	Factors influencing treatment acceptance in neurotic patients referred for yoga therapy-;an exploratory study.	A total of 186 neurotic patients seeking treatment in the psychiatry outpatient clinic of the Nehru Hospital, P.G.I.M.E.R. were assigned consequently to three treatments i.e. Yoga therapy (Y), Yogic Relaxation (YR) and Chemotherapy (C). A record was kept of the number of visits made by each patient during the 5 months study period. In order to find out the factors associated with treatment acceptance, a comparison was made of those subjects who completed 4-6 weeks of treatment with those who dropped out before completing the treatment in the yoga group. The dropouts and non-dropouts were found to be comparable on sociodemographic and clinical variables. They were also similar with regard to the attitude to yoga. The only factor which distinguished the two groups was the severity of illness at intake. Those who continued treatment had significantly higher scores on the P. G. I. Health Questionnaire N-2 and the clinical ratings of the severity of illness. Further, analysis of stage at which dropout occurred, and the responses to the reply paid questionnaire indicated that treatment failure as not the main reason for dropout.	Grover, P;Varma, V K;Verma, S K;Pershad, D	1989 Jul
2669722	Treatment of essential hypertension with yoga relaxation therapy in a USAF aviator: a case report.	A 46-year-old Caucasian male USAF aviator with a 6-year history of mild essential hypertension (medical waiver for flight duty) under unsuccessful treatment with hydrochlorothiazide, dietary modification, and exercise, was subsequently trained in yoga relaxation. After 6 weeks, medication had been discontinued, and his diastolic blood pressure remained within normal levels. The patient was subsequently returned to full flight status without recurrence of diastolic hypertension at followup 6 months later. Relaxation training, of which yoga is one type, has been reported in the medical literature to have wide clinical application. It should be considered as a nonpharmacological therapy adjunct or alternative for medical disorders among personnel in occupations (e.g., aviation) where the side effects from medications are of great concern and could be disqualifying from those duties.	Brownstein, A H;Dembert, M L	1989 Jul
2762093	Left-arm dominance in active positioning.	The relative accuracy of the left and the right arms in active positioning was studied in a group of 24 male right-handed undergraduates. The task required active positioning of the left and right arms at each of the four angular positions (30 degrees, 45 degrees, 60 degrees, and 75 degrees). The left arm was more accurate in active positioning than the right arm. There was a progressive increase in error for both arms as the arms flexed more in reducing the angle at the joint. Results are discussed in light of suggestions concerning the superiority of the right hemisphere in the processing of kinesthetic and proprioceptive information.	Kurian, G;Sharma, N K;Santhakumari, K	1989 Jun
2593656	Effect of yogic training on serum LDH levels.	LDH is a glycolytic enzyme utilised during exercise to provide energy to contracting muscles. Chronic submaximal exercise for a longer duration shows about two-fold increase in LDH levels. Yogic practises might be bringing similar effects. The present work was designed to study effect of yogic training on LDH levels. Fourteen female and six male students of average age or 18 years were subjected to yogic training for six weeks. Serum LDH levels were found before and after the training course by spectrophotometric method of Henry et al. The serum LDH levels were within normal limits and showed significant increase both in females and males after yogic training. It indicates that Yoga has similar effect on LDH levels like endurance training.	Pansare, M S;Kulkarni, A N;Pendse, U B	1989 Jun
2714127	Voluntary relaxation of the external anal sphincter.	In this study five volunteers with special training in anal sphincter exercise (Scandinavian Yoga School) managed voluntarily to reduce anal pressure. The mean reduction of anal pressure was 20 mm Hg. In one of the subjects, this was shown by manometry during low spinal anesthesia and electromyography to be caused by relaxation of the external anal sphincter.	Broden, G;Dolk, A;Frostell, C;Nilsson, B;Holmstrom, B	1989 May
2777359	Effect of yogasanas on the visual and auditory reaction time.	Visual and auditory reaction time (VRT, ART) was studied in 83 healthy male subjects of 30-40 years of age who had never practiced yogasanas before. These subjects were divided into two groups viz. Group A whose VRT and ART was determined after 1 hr. yogasanas and Group B whose ART and VRT was determined after 6 weeks yogasanas training programme. VRT and ART showed a significant reduction in Group A (P less than .05) and Group B (P less than .001).	Malathi, A;Parulkar, V G	1989 Apr-Jun
2670762	Treatment of neurotic illnesses by yogic techniques.		Sharma, I;Singh, P	1989 Mar
2919018	Treatment of premenstrual symptoms in Wellington women.	A survey of 1826 women in the Wellington region was carried out. Participants were asked about their general and gynaecological health, as well as detailed questions about their last menstrual cycle. The majority (1456) had had a menstrual period within the last month or so. Eighty five percent of these women noted premenstrual symptoms of some kind, and were asked about a variety of self-help measures, and medical help, for these, and whether the advice and/or treatment was in fact helpful. Nine hundred and ninety women had tried self-help while four hundred and sixteen had sought medical help. The most commonly tried self-help measures were exercise, rest and vitamin B6. Half the women had tried each of these. Overall, there was a marked placebo response, but exercise, rest and keeping a written diary of symptoms were all helpful in over eighty percent of those who tried them. Doctors offered a wide range of treatments, including vitamin B6, diuretics, oral contraceptives and mefanamic acid, but the effect of these was difficult to evaluate further. When the sample was subdivided into clusters of women who shared similar symptoms, significant differences in the effectiveness of different self help measures emerged. Four different premenstrual syndromes are suggested: PMS-breast, PMS-bloat, PMS-irritable and intolerant, and PMS-various.	Pullon, S R;Reinken, J A;Sparrow, M J	1989 Feb 22
2661810	Self care: undercover exercise, an adaptive yoga program.		Erdman, M	1989
2634333	[Psychotherapy with expressive technics in psychotic patients].	In February 1984, it was decided to resort to non-verbal expressive techniques as a suitable way for doing group psychotherapy with psychotic patients. A corporal language technique was selected which comprised (a) sense-perception elements, (b) corporal expression, and (c) yoga, arranged in five-step sessions: space acknowledgment, deep-breathing exercise, palpation of an osteoarticular structure, motility test of the previously palpated zone, and expressive exercise. Such an experiment was carried out with a group of psychotic patients, another group with psychosomatic symptoms, and a third, changeable, heterogenous group, with, obviously, a control group. Observations were made of patients' behavior during sessions, and their clinical progress throughout. All patients showed good response to the movement proposals, and no emotional excesses were detected. It was clinically observed that, in all cases, sociability improved, and anxiety decreased--in this connection, medication could be cut down accordingly. As regards 2 schizophrenic female patients, biological therapy could be ruled out.	Jordan, N	1989 Jan-Jun
2532183	Psychosomatics of back pain and the use of yoga.	In this article, a review is given of the psychosomatic aspect of back pain and the use of multi-dimensional methods of managing back pain. Major emphasis is given to the techniques of yoga.	Nespor, K	1989
2495404	Health and health care--a Hindu perspective.	In the Hindu tradition, 'health' means the continued maintenance of the best possible working of the human body under normal, and sometimes even abnormal, environmental conditions. Hindu religious teaching on healthy living and ethical considerations culminate in spiritual objectives if the injunctions contained in the system are followed. Hatha yoga is a system of bodily care that is conducive to such health, which also corrects disease via the regulation of muscular action and in other ways. Other systems of medicine, such as Ayurveda and other traditional systems in Hindu culture, have been devised for the good of humanity. It is, however, the holistic approach to health in Hinduism that calls attention to such causes of ill health as climatic extremes, bacterial attack, nutritional deviance, stress, and other forms of emotional imbalance. A state of good health is within the reach of most persons if they cultivate habits that are conducive to physical and spiritual well-being. The concept of preventive medicine is probably also based on the tenet that the attainment of good health is a religious duty, and corresponding injunctions are found in abundance in Hindu scriptures. It is not the training of students in the medical profession that is most important for health care, but rather their concern for health and their willingness to apply themselves to the observation of the rules they would wish their patients to observe.	Naidoo, T	1989
3069839	Comparative study of the effect of drugs and relaxation exercise (yoga shavasan) in hypertension.		Chaudhary, A K;Bhatnagar, H N;Bhatnagar, L K;Chaudhary, K	1988 Dec
22557636	Role of ayurveda and yoga to overcome aging.	The changes in the body with aging are various. They can be avoided by judicious use of the knowledge of Aha Vihara and Carya described in the Ayurvedic texts alongwith certain yogic practices with are minutely discussed here.	Mishra, S K	1988 Oct
3215678	Autonomic responses to breath holding and its variations following pranayama.	Autonomic responses to breath holding were studied in twenty healthy young men. Breath was held at different phases of respiration and parameters recorded were Breath holding time, heart rate systolic and diastolic blood pressure and galvanic skin resistance (GSR). After taking initial recordings all the subjects practised Nadi-Shodhana Pranayama for a period of 4 weeks. At the end of 4 weeks same parameters were again recorded and the results compared. Baseline heart rate and blood pressure (systolic and diastolic) showed a rendency to decrease and both these autonomic parameters were significantly decreased at breaking point after pranayamic breathing. Although the GSR was recorded in all subjects the observations made were not conclusive. Thus pranayama breathing exercises appear to alter autonomic responses to breath holding probably by increasing vagal tone and decreasing sympathetic discharges.	Bhargava, R;Gogate, M G;Mascarenhas, J F	1988 Oct-Dec
3198292	Physiological responses to cold (10 degrees C) in men after six months' practice of yoga exercises.		Selvamurthy, W;Ray, U S;Hegde, K S;Sharma, R P	1988 Sep
3194881	Increased muscle enzyme activity after yoga breathing during an exacerbation of asthma.	The case is reported of a yoga practitioner who, during an exacerbation of asthma, developed a substantial increase in serum muscle enzymes. This was related to his yoga breathing exercises, which he used to enhance the delivery of aerosolised bronchodilators. As his condition improved and the use of these yoga manoeuvres diminished, the muscle enzyme levels fell to normal.	Tamarin, F M;Conetta, R;Brandstetter, R D;Chadow, H	1988 Sep
3198241	Effect of short term yoga practice on ventilatory function tests.	Twentyfive normal male volunteers undergoing a ten weeks course in the practice of yoga have been studied by some parameters of ventilatory functions tests. The observations recorded at the end of ten weeks of the course have shown improved ventilatory functions in the form of lowered respiratory rate, increased forced vital capacity, FEV1, maximum breathing capacity and breath holding time, while tidal volume and %FEV1, did not reveal any significant change. Thus, a combined practice of yoga seems to be beneficial on respiratory efficiency.	Makwana, K;Khirwadkar, N;Gupta, H C	1988 Jul-Sep
3372156	Topographic EEG brain mapping during Yogic Flying.	Voluntary focal activity typically disrupts EEG alpha activity. This experiment tested the hypothesis that the alpha wave would not be disrupted during "Yogic Flying" (YF), a TM-Sidhi technique that produces movement of the body such as hopping, because the technique operates at a self-referral level in which attention remains in a settled, inwardly directed state. In 23 subjects YF was compared with voluntary jumping in the same subjects which mimicked the movements of YF. The percentage of relative power of alpha was significantly higher for YF in virtually all EEG derivations, supporting the hypothesis. The effect appeared to be of similar magnitude in all cortical areas.	Orme-Johnson, D W;Gelderloos, P	1988 Feb
22557607	"Shankha prakshalana" (gastrointestinal lavage) in health and disease.	Shankha Prakshalana is an easy and effective technique for cleansing the gastrointestinal canal, thereby removing all the autointoxicants present in the alimentary canal. Moreover, it is a very economical procedure which can be performed by the patients at his own residence. The role of Shankha Prakshalana from our own experience is very effective in overcoming the irritable bowel syndrome. Shankha Prakshalana may also be given to the patients of anxiety neurosis with satisfactory results. Its role in the treatment of renal disorder is encouraging in early cases only. However, in the second and third degree chronic renal failure cases its role is yet to be established and needs further investigation. Similarly, in the case of thyrotoxicosis no conclusive evidence could be observed due to very limited number of cases.	Singh, S N;Jaiswal, V;Maurya, S P	1988 Jan
3338825	Colonic myoelectrical activity in irritable bowel syndrome before and after treatment.		Madhu, S V;Vij, J C;Bhatnagar, O P;Krishnamurthy, N;Anand, B S;Chuttani, H K	1988 Jan
3278585	The "third eye": a psychoendocrine model of hypnotizability.		Leskowitz, E	1988 Jan
3064843	Rehabilitation of drug-addicted persons: the experience of the Nav-Chetna Center in India.	The Nav-Chetna Drug De-addiction and Rehabilitation Center, Varanasi, India, was established in December 1985. It provides out-patient and residential rehabilitation services, medical treatment, counseling, educational and vocational guidance, yoga therapy and after care. Drug-dependent persons under rehabilitation treatment at the Center are encouraged and helped to promote personal development, to build up and strengthen their initiative and confidence and to bring about improvements in their maturation, attitude and behaviour to overcome drug addiction. This is accomplished through a therapeutic-oriented programme, which creates conditions that optimize the natural tendency of the individual to self-actualize and eventually stabilize. Yoga plays a crucial role in this programme at both pre- and post-clinical stages. It offers a new avenue for positive mental and physical health and helps to free individuals from drug dependency and its associated problems.	Sharma, K;Shukla, V	1988
3060312	EEG findings during special psychical state (Qi Gong state) by means of compressed spectral array and topographic mapping.	Wallace first reported the changes in EEG during transcendental mediation [6]. Banquet [1] observed, on the basis of spectral analysis of the EEG, that the mediation state was a unique state of consciousness, and separate from wakefulness, drowsiness or sleep. The Qi Gong of China is not the same as either transcendental mediation or the Yoga Gong. The EEG during Qi Gong state is clearly different from those recorded during the resting state. The changes in the EEG during the Qi Gong have not been reported previously. The EEG alpha activity during the Qi Gong state occurs predominantly in the anterior regions. The peak frequency of EEG alpha rhythm is slower than the resting state. The change of EEG during Qi Gong between anterior and posterior half is negative correlation. These changes are statistically significant.	Zhang, J Z;Zhao, J;He, Q N	1988
22557593	Energy medicine.	Energy medicine is the most comprehensive concept introduced in medical diagnostics and therapy to account for a whole range of phenomena and methods available to help an individual proceed from sickness to health. The modern medical theories do not account for, much less accept many traditional therapies due to deep suspicion that the older methods are not scientific. However, the Holistic Health groups around the world have now created an environment for therapies which work at subtle energy inputs, at the cellular and molecular levels. Moreover, there are other - as yet unexplainable - energy fields which are being utilized to rebalance the Body-Mind-Spirit triad in an individual. A brief introduction is provided to these subtle energy inputs and methods of manipulation of the vital forces in the sick. Many ancient health technologies such as Yoga, Ayurveda, Acupuncture etc have proposed and work under different energy movement in the body. These are all Energy Medical Systems whose efficacy is beyond any doubt in therapeutics. Thus, Energy Medicine forms a broad based system and its introduction is important to widen the scope and content of medical therapy so that optimal treatment of the sick is possible.	Srinivasan, T M	1987 Oct
3692940	[Report from a study trip to the Far East].		Appelquist, B	1987 Oct
21927248	Relationship between the patient's attitude towards yoga and the treatment outcome.	Correlations were obtained between scores on the P.G.I. Yoga Attitude Scale and improvement in a group of 20 psychoneurotic patients undertaking yoga therapy of 4-6 weeks duration. A significant positive correlation was found between the improvement in social and vocational disability and scores on the P.G.I Yoga Attitude Scale at intake. However, during treatment and followup, there was a significant change in the attitude towards yoga - it became more positive. Correlations were also performed between improvement and change in attitude over the 5-month study period. Significant positive correlation was seen only on personal distress. Improvement in the other symptoms of neurosis i.e. anxiety, depression, musculo-cutaneous features, vegetative symptoms of neurosis i.e. anxiety, depression, musculo-cutaneous features, vegetative symptoms and the other neurotic features i.e. hysteria, hypochondriasis, obsessions-compulsions and phobia did not show any relationship with the patient's attitude towards yoga.	Grover, P;Varma, V K;Verma, S K;Pershad, D	1987 Jul
3581587	Epidemiology. The incidence and management of joint contracture in India.	An epidemiologic study in India showed that 50% of the severely disabled (1.8% of the total population) had locomotor disorders. There is a considerable difference in the incidence of disability and disease in rural and urban populations. The deformities from poliomyelitis are encountered predominantly in the rural areas (53.5%). The incidence in urban areas is only 1%. After poliomyelitis, the pathomechanics of deformity are prominent in the lower limbs. In a developing country, the management of contractures differs considerably from treatment in economically advanced nations. The use of postural exercises with body weight is well illustrated by certain Yoga postures such as paschimottansana or ushtrasana and is a prescribed treatment.	Mukherjee, A K;Mokashi, M G	1987 Jun
3331390	Entomological investigations of an outbreak of malaria in Chilacap on South coast of central Java, Indonesia during 1985.		Kirnowardoya, S;Yoga, G P	1987 Jun
3693289	The effect of relaxing exercise "shavasan".		Bose, S;Etta, K M;Balagangadharan, S	1987 May
3039618	[Current status of after-care cures in oncologic patients].	Some 40 accredited aftercare clinics are available for inpatient cancer aftercare, since 1981 also for immediately post-acute treatment courses. These clinics are used for both, the frequent physical treatment aftermath from oncological diseases in the otological or gynaecological field, and for psychic stabilization when psychosocial problems arise. Participation in autogeneous relaxation training, yoga, and/or psychotherapeutic services are found to entail improved disease coping. Concrete patient care expectancies primarily center around movement therapy, lymphatic drainage (in breast carcinoma), speech therapy (in laryngectomees), pain control, but are also directed at psychosocial care in terms of achieving" inner calmness and relaxation". Given the age distribution seen, increasing the quality of life takes priority over restoration of the working capacity.	Schwidurski-Maib, G;Jochheim, K A	1987 May
2956615	[Dopplerography of the venous return of the foot in the healthy subject. Preliminary to a study of ambulation].	The direction of venous return was monitored continuously by the Doppler method at 4 MHz, in order to study the effects of posture and certain kinesitherapeutic maneuvers on venous return in the foot of young, healthy and trained adults (kinesitherapy monitors, yoga assistants). It was noted that: the acceleration of venous return in the foot was expiratory in the recumbent position and inspiratory in the standing position; dorsiflexion (leg on foot or toes on heel) caused a more pronounced spurt phenomenon than plantar flexion; massage repeated at high frequency is less beneficial for venous return than slower massage, which allows better adaptation of venous compliance.	Harichaux, P;Viel, E	1987 Apr-Jun
3029444	Yoga or fiber? Thermodynamics in the vegetarian.		Contaldo, F;Coltorti, A	1987 Mar 13
22557565	Yoga and its integration in modern education.	This paper discusses the integration of Yoga with the modern education, which will help the development of human potentialities. The amount of time that has to be allotted for teaching yoga and the different aspects of yoga to be introduced at various stages in the education system are also traced here.	Desai, B P	1987 Jan
3505533	Kunjal: a nonspecific protective factor in management of bronchial asthma.	Seven asthmatic patients having nocturnal symptoms performed a yogic maneuver called Kunjal. Definite improvement was noticed subjectively and objectively in six patients during the week Kunjal was performed, and improvement in symptoms persisted into the third week in five patients.	Singh, V	1987
3443597	Effect of respiratory exercises on asthma. The Pink City lung exerciser.	Twelve subjects with mild asthmatic episodes in the form of nocturnal precipitation were studied. A two-week schedule of placebo administration, pranayamic breathing exercises using a Pink City lung exerciser alone, and exercises using the lung exerciser with hot, humid air were performed. Five of the 12 asthmatics showed highly significant increases in peak expiratory flow rate (PEFR) with the lung exerciser alone, while eight of the 12 cases showed highly significant increases in PEFR with exercise using hot, humid air. The frequency of nocturnal wheezing also declined. It can be inferred that slow breathing alone and in combination with hot, humid air has a nonspecific bronchoprotective or bronchorelaxing effect.	Singh, V	1987
3790030	A space-time model of health.	A space-time model of health requires a profound re-thinking of many of our basic tenets. This modern view of man and his world discards the traditional mechanistic paradigm which has been the focus of Western scientific thought and medicine. Stress related disorders are thought to be a result in part of an individual's perception of linear time. Holistic strategies such as biofeedback, relaxation skills, hypnosis, yoga, and imagery, to name a few, ask the individual to step outside linear or objective time by expanding their sense of experiential or subjective time and consciousness. It is suggested that training the time sense is a tool of holistic medicine and a space-time model of health.	Burke, J B	1986 Nov
22557558	Mental depression and kundalini yoga.	In cases of mental depression, the plasma serotonin, melatonin and glutamate levels are increased along with the lowering of urinary - 5 - hydroxyindole acetic acid, plasma monoamine oxidase and cortisol levels following three and six months Practice of Kundalini Yoga. The pulse rate and blood pressure in these patients are also lowered after Kundalini Yoga practice. Thus, the practice of Kundalini Yoga helps to maintain a perfect homeostasis by bringing an equilibrium between the sympathetic and parasympathetic activities and it can be used as a non - medical measure in treating patients with mental depression.	Devi, S K;Chansauria, J P;Udupa, K N	1986 Oct
3570435	Effect of yoga type breathing on heart rate and cardiac axis of normal subjects.	Effect of inspiratory and expiratory phases of normal quiet breathing, deep breathing and savitri pranayam type breathing on heart rate and mean ventricular QRS axis was investigated in young, healthy untrained subjects. Pranayam type breathing produced significant cardioacceleration and increase in QRS axis during the inspiratory phase as compared to eupnea. On the other hand, expiratory effort during pranayam type breathing did not produce any significant change in heart rate or QRS axis. The changes in heart rate and QRS axis during the inspiratory and expiratory phases of pranayam type breathing were similar to the changes observed during the corresponding phases of deep breathing.	Mohan, M;Saravanane, C;Surange, S G;Thombre, D P;Chakrabarty, A S	1986 Oct-Dec
3793701	Yoga and diabetes.		Sahay, B K	1986 Sep
3755416	Alternative medicine consultations and remedies in patients with the irritable bowel syndrome.	The use of alternative medicine was assessed by questionnaire in 96 patients with irritable bowel syndrome, 143 patients with organic upper gastrointestinal disorders and 222 patients with Crohn's disease of comparable age and sex. Significantly more patients with the irritable bowel syndrome (16%) had consulted practitioners of alternative medicine about their condition than had patients in either of the other groups. Similarly, significantly more irritable bowel syndrome patients said they would consult an alternative medicine practitioner (41%) if conventional treatment failed. Current usage of alternative medicine remedies was significantly greater in the irritable bowel syndrome patients (11%) than in patients with Crohn's disease (4%) and tended to be greater than in patients with organic upper gastrointestinal disorders (6%). This study has shown that the use of alternative medicine is common in patients with irritable bowel syndrome and this does not appear to be explicable in terms of the nature, chronicity or refractoriness to treatment of symptoms.	Smart, H L;Mayberry, J F;Atkinson, M	1986 Jul
