pmid	ti	ab	fau	dp
16116737	Real men do yoga.		Capouya, John	2003 Jun 16
16008324	Efficacy of yoga in pregnant women with abnormal Doppler study of umbilical and uterine arteries.	To study the efficacy of yoga on the outcome of complicated pregnancy, 121 women attending antenatal clinic at Gunasheela Surgical and Maternity Hospital (GSMH) in Bangalore, India, were enrolled between 18-20 weeks of pregnancy in a prospective, matched, observational study. Sixty-eight women were in the yoga group and 53 women in the control group. Women were matched for age, gravida and Doppler velocimetry scores of umbilical and uterine arteries. Yoga practices including physical postures, breathing and meditation were practised by the yoga group, one hour daily, from the date of entry into the study until delivery. The control group walked half an hour twice a day during the study period. Compliance in both the groups was ensured. In babies the birth-weight is significantly higher (P < 0.018) in the Yoga group (2.78 +/- 0.52 kg), compared to the control group (2.55 +/- 0.52 kg). Occurrence of complications of pregnancy (pregnancy-induced hypertension, intrauterine growth retardation, pre-term delivery) shows lower trends in yoga group.	Narendran, Shamanthakamani;Nagarathna, R;Gunasheela, Sulochana;Nagendra, H R	2005 Jan
15977318	Old and new controversies in the alternative treatment of attention-deficit hyperactivity disorder.	Use of complementary and alternative medicine (CAM) for treatment of attention-deficit hyperactivity disorder (ADHD) has become widespread in both referral and primary care populations. We review the purported mechanism of action and available evidence for selected CAM therapies for ADHD. Enduring controversies, such as elimination of artificial food additives, colors, and/or preservatives; the effect of sugar on behavior in children; and the use of EEG biofeedback, have been well studied but lack support as effective sole treatments for ADHD. The initial evidence for some emerging CAM therapies, such as essential fatty acid supplementation, yoga, massage, homeopathy, and green outdoor spaces, suggests potential benefits as part of an overall ADHD treatment plan. More rigorously designed studies are needed to evaluate their effectiveness as single therapy for ADHD.	Rojas, Neal L;Chan, Eugenia	2005
15940901	[Status of NIHS Computer Network System (NIHS-NET)].	We described the development of National Institute of Health Sciences Computer Network System (NIHS-NET), which was named NIHS Information and Computing Infrastructure (NICI) previously. In the system, the main server machines and common machines were replaced and the network lines were upgraded from 100 Mbps to 1Gbps. The connection nodes were changed from Inter Ministry Network (IMnet) to Science Information Network (SINET), and the dedicated lines between NIHS (yoga, osaka, tsukuba) and SINET were constructed. The Internet connection speed from each campus to SINET was upgraded. We also performed security audit in this system.	Segawa, Katsunori;Nakano, Tatsuya;Hayashi, Yuzuru;Nakata, Kotoko	2004
15907055	Modulation of cardiovascular response to exercise by yoga training.	This study reports the effects of yoga training on cardiovascular response to exercise and the time course of recovery after the exercise. Cardiovascular response to exercise was determined by Harvard step test using a platform of 45 cm height. The subjects were asked to step up and down the platform at a rate of 30/min for a total duration of 5 min or until fatigue, whichever was earlier. Heart rate (HR) and blood pressure response to exercise were measured in supine position before exercise and at 1, 2, 3, 4, 5, 7 and 10 minutes after the exercise. Rate-pressure product [RPP = (HR x SP)/100] and double product (Do P = HR x MP), which are indices of work done by the heart were also calculated. Exercise produced a significant increase in HR, systolic pressure, RPP & DoP and a significant decrease in diastolic pressure. After two months of yoga training, exercise-induced changes in these parameters were significantly reduced. It is concluded that after yoga training a given level of exercise leads to a milder cardiovascular response, suggesting better exercise tolerance.	Madanmohan;Udupa, Kaviraja;Bhavanani, Ananda Balayogi;Shatapathy, Chetan Chinmaya;Sahai, Ajit	2004 Oct
15866801	Evans (1966) exchange and the skin in the light of vacuum-assisted closure, yoga, and maggots.		Ryan, Terence J	2004 Sep
15831140	Ayurveda and Yoga in Cardiovascular Diseases.	Ayurveda is derived from 2 Sanskrit words, namely, "Ayus" and "Veda," meaning life and knowledge, respectively. It literally means science of life. Ayurveda, of which yoga is an integral part, is widely practiced in India and is gaining acceptance in many countries around the world. It is a comprehensive and a holistic system, the focus of which is on the body, mind, and consciousness. The Ayurvedic treatment consists of the use herbal preparations, diet, yoga, meditation, and other practices. Based on the review of available studies, the evidence is not convincing that any Ayurvedic herbal treatment is effective in the treatment of heart disease or hypertension. However, the use of certain spices and herbs such as garlic and turmeric in an overall healthy diet is appropriate. Many herbs used by Ayurvedic practitioners show promise and could be appropriate for larger randomized trials. Yoga, an integral part of Ayurveda, has been shown to be useful to patients with heart disease and hypertension. Yoga reduces anxiety, promotes well-being, and improves quality of life. Its safety profile is excellent. Its use as a complementary therapeutic regimen under medical supervision is appropriate and could be worth considering.	Mamtani, Ravinder;Mamtani, Ronac	2004 September/October
15789782	[Physical exercise and yoga in prevention and treatment of addictive diseases].	Prevention of addictive diseases should be complex and systematic and it should include training of social skills, decision-making skills, family intervention, etc. Similarly, effective treatment is usually long-term, systematic and complex. Physical exercise and yoga can be useful components of comprehensive prevention and treatment programmes. On the other hand, competitive professional sport rather increases the number of risk factors for substance-related problems. Practical experience with the use of yoga in substance dependent patients and pathological gambles are mentioned. One of the advantages of yoga is the integration of physical exercise and relaxation.	Nespor, K	2005
15782445	Complementary and alternative medicine: personal preference or low cost option?	From acupuncture to yoga, Americans' use of complementary and alternative medicine (CAM) is widespread and growing. The reasons that people give for using CAM are as diverse as the CAM therapies themselves: some perceive that conventional health care is ineffective, while others consider CAM to be more consistent with their own values and beliefs about health. As conventional health care costs rise, it is also possible that some people turn to CAM as a low cost alternative. This Issue Brief summarizes research that evaluates the relationship between CAM use and perceived access to conventional health care.	Pagan, Jose A;Pauly, Mark V	2004 Feb
15774384	Rehabilitation of the wandering seriously mentally ill (WSMI) women-The Banyan experience.	Started in 1993, in a small way, by a social worker as a response to the growing destitution of mentally ill women and with the objective of giving shelter, treatment and mainstreaming them, The Banyan has so far given 'Adaikalam' (refuge) to 413 women, of whom 252 have been rehabilitated. The entire care process starts from the time the women are picked from the streets in a disheveled and deranged state and brought to the home after much difficulty. On arrival they are spruced up and clinically assessed by a psychiatrist and put on medication. Slowly and steadily they return to the world of reality. Simultaneously, the inmates are put through various therapies like individual counseling, music, art, yoga, and vocational training. Finally, the address of the inmates is traced, and a team from The Banyan accompanies them, and they are rehabilitated. The family is enlightened about the illness, the woman's stay at The Banyan, need for continuous medication. The Banyan is a lifetime service provider of medicines, keeping track by regular follow up and above all a friend to whom they can seek any help at any time. The role played by the social workers is so vital that the success of the programme hinges on their repertoire of skill and commitment.	Rao, P Nalini	2004
15759599	An evaluation of the ability to voluntarily reduce the heart rate after a month of yoga practice.	The study aimed at determining whether novices to yoga would be able to reduce their heart rate voluntarily and whether the magnitude of reduction would be more after 30 days of yoga training. Two groups (yoga and control, n = 12 each) were assessed on Day 1 and on Day 30. During the intervening 30 days, the yoga group received training in yoga techniques while the control group carried on with their routine. At each assessment the baseline heart rate was recorded for one minute, this was followed by a six-minute period during which participants were asked to attempt to voluntarily reduce their heart rate, using any strategy. Both the baseline heart rate and the lowest heart rate achieved voluntarily during the six-minute period were significantly lower in the yoga group on Day 30 compared to Day 1 by a group average of 10.7 beats per minute (i.e., bpm) and 6.8 bpm, respectively (p < .05, Wilcoxon paired signed ranks test). In contrast, there was no significant change in either the baseline heart rate or the lowest heart rate achieved voluntarily in the control group on Day 30 compared to Day 1. The results suggest that yoga training can enable practitioners to use their own strategies to reduce the heart rate, which has possible therapeutic applications.	Telles, Shirley;Joshi, Meesha;Dash, Manoj;Raghuraj, P;Naveen, K V;Nagendra, H R	2004 Apr-Jun
15712765	Trends in use of complementary and alternative medicine by US adults: 1997-2002.	CONTEXT: Complementary and alternative medicine (CAM) use by US adults increased substantially between 1990 and 1997, yet little is known about more recent trends. OBJECTIVE: Compare CAM therapy use by US adults in 2002 and 1997. DESIGN: Comparison of two national surveys of CAM use by US adults: (1) the Alternative Health/Complementary and Alternative Medicine supplement to the 2002 National Health Interview Survey (NHIS, N = 31,044) and (2) a 1997 national survey (N = 2055), each containing questions about 15 common CAM therapies. MAIN OUTCOME MEASURES: Prevalence, sociodemographic correlates, and insurance coverage of CAM use. RESULTS: The most commonly used CAM modalities in 2002 were herbal therapy (18.6%, representing over 38 million US adults) followed by relaxation techniques (14.2%, representing 29 million US adults) and chiropractic (7.4%, representing 15 million US adults). Among CAM users, 41% used two or more CAM therapies during the prior year. Factors associated with highest rates of CAM use were ages 40-64, female gender, non-black/non-Hispanic race, and annual income of dollar 65,000 or higher. Overall CAM use for the 15 therapies common to both surveys was similar between 1997 and 2002 (36.5%, vs. 35.0%, respectively, each representing about 72 million US adults). The greatest relative increase in CAM use between 1997 and 2002 was seen for herbal medicine (12.1% vs.18.6%, respectively), and yoga (3.7% vs. 5.1%, respectively),while the largest relative decrease occurred for chiropractic (9.9% to 7.4%, respectively). CONCLUSIONS: The prevalence of CAM use has remained stable from 1997 to 2002. Over one in three respondents used CAM in the past year, representing about 72 million US adults.	Tindle, Hilary A;Davis, Roger B;Phillips, Russell S;Eisenberg, David M	2005 Jan-Feb
15707256	Treatment of chronic insomnia with yoga: a preliminary study with sleep-wake diaries.	There is good evidence for cognitive and physiological arousal in chronic insomnia. Accordingly, clinical trial studies of insomnia treatments aimed at reducing arousal, including relaxation and meditation, have reported positive results. Yoga is a multicomponent practice that is also known to be effective in reducing arousal, although it has not been well evaluated as a treatment for insomnia. In this preliminary study, a simple daily yoga treatment was evaluated in a chronic insomnia population consisting of sleep-onset and/or sleep-maintenance insomnia and primary or secondary insomnia. Participants maintained sleep-wake diaries during a pretreatment 2-week baseline and a subsequent 8-week intervention, in which they practiced the treatment on their own following a single in-person training session with subsequent brief in-person and telephone follow-ups. Sleep efficiency (SE), total sleep time (TST), total wake time (TWT), sleep onset latency (SOL), wake time after sleep onset (WASO), number of awakenings, and sleep quality measures were derived from sleep-wake diary entries and were averaged in 2-week intervals. For 20 participants completing the protocol, statistically significant improvements were observed in SE, TST, TWT, SOL, and WASO at end-treatment as compared with pretreatment values.	Khalsa, Sat Bir S	2004 Dec
15690881	Float like a butterfly...yoga and birth.		Fields, Nerissa	2005 Jan
15650471	A pilot study to examine the effects of a mindfulness-based stress-reduction and relaxation program on levels of stress hormones, physical functioning, and submaximal exercise responses.	OBJECTIVE: Stress has been cited as a causal factor in heart disease. The objective of this study was to examine the effects of an 8-week mindfulness-based stress-reduction program on the resting levels of stress hormones, physical functioning, and submaximal exercise responses in women with heart disease. SUBJECTS: Random selection with the numbers 1 and 2 were used to assign 18 women (60 +/-6.3 years old) with documented histories of heart disease to a treatment group (n = 9) or a control group (n = 9). Speilberger's state anxiety scores for the treatment (M = 37.88; standard deviation (SD) = 10.91) and control group (M = 43.22; SD = 12.26) were not significantly different prior to the start of the study. However, their scores fell in the upper percentile rank for normal adults in their age category. INTERVENTION: The intervention was provided one night each week for 2 hours over a period of 8 weeks. The intervention included didactic, inductive, and experiential modes of learning regarding stress responses and mindfulness skill-development training. DESIGN: Pre-post test hormonal measurements and physical function were analyzed using a 2 (group) by 2 (time) analysis of variance (ANOVA) with repeated measures following the 8-week program. Submaximal exercise responses were also compared between the treatment group and the control group following the 8-week program. A 2 (group) by 3 (time) ANOVA with repeated measures was used to analyze the data. SETTINGS/LOCATION: Weekly meetings were held on a university medical school campus. Submaximal exercise responses were recorded while participants cycled on a stationary bike in an applied physiology laboratory following the 8-week program. RESULTS: There were no significant main effects or interaction for the resting levels of stress hormones or physical functioning. There were no significant interactions for the submaximal exercise responses, however, there were significant main effects between groups for ventilation [F(2,32) = 7.65, p < .01, f = 0.8], and between group [F(1,16) = 8.84, p < .01, f = 0.8] and time [F(2,32) = 10.42, p < .01, f = 0.9], for breathing frequency. CONCLUSION: While the 8-week stress reduction program for women with heart disease did not show significant interactions between groups for resting levels of stress hormones, physical functioning, or submaximal exercise responses, there was a significant difference in breathing patterns between the 2 groups during exercise following the mindfulness-based stress-reduction program. There was also a trend for change in the intervention group in the resting levels of cortisol and physical function scores that was not seen in the control group. Future studies could use the effect size generated from this pilot study to calculate the number of subjects needed for adequate power to detect significant differences between groups.	Robert McComb, Jacalyn J;Tacon, Anna;Randolph, Patrck;Caldera, Yvonne	2004 Oct
15650464	Hemodynamic observations on a yogic breathing technique claimed to help eliminate and prevent heart attacks: a pilot study.	OBJECTIVE: This pilot study investigated the hemodynamics of a yogic breathing technique claimed "to help eliminate and prevent heart attacks due to abnormal electrical events to the heart," and to generally "enhance performance of the central nervous system (CNS) and to help eliminate the effects of traumatic shock and stress to the CNS." DESIGN: Parameters for (4) subjects were recorded during a preexercise resting period, a 31-minute exercise period, and a postexercise resting period. SETTINGS/LOCATION: Parameters for subjects were recorded in a laboratory at the University of California, San Diego. SUBJECTS: Parameters for 3 males (ages 44, 45, 67) and 1 female (age 41) were recorded. One (1) subject (male age 45) had extensive training in this technique. INTERVENTIONS: This yogic technique is a 1 breath per minute (BPM) respiratory exercise with slow inspiration for 20 seconds, breath retention for 20 seconds, and slow expiration for 20 seconds, for 31 consecutive minutes. OUTCOME MEASURES: Fourteen beat-to-beat parameters were measured noninvasively and calculated for body surface area to yield: stroke index (SI), heart rate (HR), cardiac index, end diastolic index, peak flow, ejection fraction, thoracic fluid index, index of contractility, ejection ratio, systolic time ratio, acceleration index, and systolic, diastolic, and mean arterial pressures (MAPs). Left stroke work index (LSWI) and stroke systemic vascular resistance index (SSVRI) were calculated. RESULTS: We report on SI, HR, MAP, LSWI, and SSVRI and how they can help to describe hemodynamicstate changes. This technique induces dramatic shifts in all hemodynamic variables during the 1 BPM exercise and can produce unique changes in the postexercise resting period after long-term practice that appears to have a unique effect on the brain stem cardiorespiratory center regulating the Mayer wave (0.1-0.01 Hz) patterns of the cardiovascular system. CONCLUSIONS: Preclinical studies are warranted to examine the possible long-term effects of this technique that appear to reset a cardiorespiratory brain-stem pacemaker. We postulate that this effect may be the basis for the purported yogic health claim.	Shannahoff-Khalsa, David S;Sramek, B Bo;Kennel, Matthew B;Jamieson, Stuart W	2004 Oct
15648467	Relationship between achievement goal constructs and physical self-perceptions in a physical activity setting.	The relations of achievement goal theory constructs and physical self-perceptions were explored with 225 students (91 men, 109 women, and 25 nonindicators; M age=23.5 yr., SD=9.2), enrolled in basic physical activity classes (aerobics, weight training, modern dance, badminton, yoga, tai chi, basketball, racquetball, gymnastics, bowling, aquatone, and step aerobics) in a university setting. Goal orientations (Task and Ego Orientation in Sport Questionnaire), perceptions of the motivational climate (Perceived Motivational Climate in Sport Questionnaire-2), and physical self-perceptions (Physical Self-perception Profile) were assessed. Data were analyzed separately by sex. Ego orientation was the only predictor of Physical Self-perceptions in men, accounting for between 12 and 15% of the variance in Physical Self-worth, Sport Competence, Physical Conditioning, and Body Attractiveness. Constructs of achievement goal theory were not predictive of Physical Self-perceptions in the women. The results are discussed in light of achievement goal theory and the nature of the sample.	Newton, Maria;Detling, Nicole;Kilgore, Jennifer;Bernhardt, Paul	2004 Dec
15648413	Effect of six weeks of shavasan training on spectral measures of short-term heart rate variability in young healthy volunteers.		Madanmohan;Bhavanani, A B;Prakash, E S;Kamath, M G;Amudhan, J	2004 Jul
15648409	Spatial and verbal memory test scores following yoga and fine arts camps for school children.	The performance scores of children (aged 11 to 16 years) in verbal and spatial memory tests were compared for two groups (n = 30, each), one attending a yoga camp and the other a fine arts camp. Both groups were assessed on the memory tasks initially and after ten days of their respective interventions. A control group (n = 30) was similarly studied to assess the test-retest effect. At the final assessment the yoga group showed a significant increase of 43% in spatial memory scores (Multivariate analysis, Tukey test), while the fine arts and control groups showed no change. The results suggest that yoga practice, including physical postures, yoga breathing, meditation and guided relaxation improved delayed recall of spatial information.	Manjunath, N K;Telles, Shirley	2004 Jul
15648399	Yoga as a therapeutic intervention: a bibliometric analysis of published research studies.	Although yoga is historically a spiritual discipline, it has also been used clinically as a therapeutic intervention. A bibliometric analysis on the biomedical journal literature involving research on the clinical application of yoga has revealed an increase in publication frequency over the past 3 decades with a substantial and growing use of randomized controlled trials. Types of medical conditions have included psychopathological (e.g. depression, anxiety), cardiovascular (e.g. hypertension, heart disease), respiratory (e.g. asthma), diabetes and a variety of others. A majority of this research has been conducted by Indian investigators and published in Indian journals, particularly yoga specialty journals, although recent trends indicate increasing contributions from investigators in the U.S. and England. Yoga therapy is a relatively novel and emerging clinical discipline within the broad category of mind-body medicine, whose growth is consistent with the burgeoning popularity of yoga in the West and the increasing worldwide use of alternative medicine.	Khalsa, Sat Bir S	2004 Jul
15636328	Beneficial effects of yoga lifestyle on reversibility of ischaemic heart disease: caring heart project of International Board of Yoga.	OBJECTIVES: Yoga based lifestyle modifications have been earlier shown to be beneficial in coronary artery disease in a small number of patients. We evaluated the role of lifestyle modification based on Yoga techniques, stress management and dietary modifications in retardation of coronary artery disease. METHODS: This prospective, controlled, open trial included angiographically proven coronary artery disease patients (71 patients in study group and 42 patients in control group). They were assessed clinically, by biochemical parameters, stress myocardial perfusion and function studies and coronary angiography and on psychological parameters. The study group patients were given a family based Yoga Programme which included, control of risk factors, dietary modifications and stress management for a period of one year. The patients were assessed at baseline, at frequent intervals and at the end of one year. RESULTS: At the end of one year of yoga training, statistical significant changes (P<0.05) were found in serum total cholesterol (reduction by 23.3% in study group patients as compared to 4.4% in controls); serum LDL cholesterol (reduction of 26% in study group patients as compared to 2.6% in the control group), regression of disease (43.7% of study group patients v/s 31% control group on MPI and 70.4% of study group v/s 28% of control group on angiography) arrest of progression (46.5% study group v/s 33.3% control group on MPI) and progression (9.9% of study group vs 35.7% of controls on MPI, 29.6% of study group v/s 60.0% of controls on angiography). At the end of the study improvement in anxiety scores was concordant with the improvement seen in the MPI. No untoward effects of the therapy were observed. CONCLUSION: Yoga based lifestyle modifications help in regression of coronary lesions and in improving myocardial perfusion. This is translated into clinical benefits and symptomatic improvement.	Yogendra, J;Yogendra, Hansaji J;Ambardekar, S;Lele, R D;Shetty, S;Dave, M;Husein, Naaznin	2004 Apr
