pmid	ti	ab	fau	dp
26667405	SYTAR 2015 Accepted Common Interest Community Proposals.			2015
26667297	Yoga Influences Recovery During Inpatient Rehabilitation: A Pilot Study.	PURPOSE: The purpose of this study was to add yoga therapy to inpatient rehabilitation and assess whether patients chose to engage in yoga therapy in addition to other daily therapies, to describe patients' perceptions of how yoga therapy influenced recovery, and to assess and describe patient satisfaction with the program. METHODS: This was a single-arm pilot study, adding yoga therapy to ongoing inpatient rehabilitation. Yoga therapy was offered as group yoga or individual yoga twice a week. Semi-structured interview questions were completed via telephone post-discharge. RESULTS: A total of 55 of the 77 (71%) people contacted about the study engaged in yoga therapy in the inpatient rehabilitation setting for this study and 31 (56%) of these completed the semi-structured interview questions. Qualitative data support that participants perceived that yoga therapy improved breathing, relaxation, and psychological wellbeing. Overall, participants were satisfied with the program, although they often indicated they would like increased flexibility or frequency of yoga. Almost all participants (97%) said they would recommend the yoga therapy program to others in inpatient rehabilitation. CONCLUSION: We were able to add yoga therapy to ongoing inpatient rehabilitation and participants perceived benefits of having the yoga therapy in their rehabilitation stay.	Schmid, Arlene A;DeBaun-Sprague, Erin;Gilles, Alexandra M;Maguire, Julia M;Mueller, Alexandra L;Miller, Kristine K;Van Puymbroeck, Marieke;Schalk, Nancy	2015
26667296	Feasibility of Establishing a Comprehensive Yoga Program and its Dose-Effect Relationship on Cardiovascular Risk Factors and Wellness Parameters: A Pilot Study.	BACKGROUND: We sought to study the feasibility of establishing a comprehensive, mostly self-directed yoga program in a hospital and its dose-effect relationship on cardiovascular risk factors and quality of life (QoL) measures over six months. METHODS: Yoga-based techniques (Advanced Yoga Practices; AYP; advancedyogapractices.com) were taught in 12 biweekly group sessions and self-directed practice at home was emphasized. Cardiovascular risk factors were elucidated by interview and review of medical history. Quality of life (QoL) outcomes included the SF-36, the Cohen Perceived Stress Scale (CPSS), and the Hospital Anxiety and Depression Scale (HADS). Risk factors and QoL measures were compared in participants at baseline and six months, as well as between those practicing >/= 7 times versus < 7 times per week. RESULTS: A total of 22 individuals (19 women, mean age 59 +/- 8.7 years) completed the study. At six months, changes were noted in the Mental Component Scale (MCS) of the SF-36 (p=0.0004) and the CPSS (p = 0.022). A greater improvement in CPSS was noted in those practicing >/= 7 times versus < 7 times a week (p=0.045). No changes were noted in cardiovascular risk factors. CONCLUSIONS: The prescription of a self-directed yoga program was feasible in a hospital setting and resulted in improvement in QoL measures at six months. Practicing more than seven times per week correlated with greater improvement in the perception of stress. Thus, at least a once-daily dose of AYP techniques for a significant improvement in perceived stress is an appropriate dose to employ and study in hospital settings.	Chinnaiyan, Kavitha M;DePetris, Ann M;Boura, Judith A;Stakich-Alpirez, Korana;Billecke, Scott S	2015
26667295	An Individualized Yoga Programme for Multiple Sclerosis: A Case Study.	PURPOSE: Despite the evidence that yoga is beneficial for people with multiple sclerosis (MS), substantial in-depth qualitative studies of yoga and MS-and individualized yoga programmes (IYP), in particular-are lacking. The aims of this paper are (a) to conduct a case study on an IYP for one participant with MS in terms of her experience of yoga and how yoga affected her particular symptoms of MS, and (b) to better understand the unique and changing needs of someone with MS in the context of an IYP. DESIGN AND METHOD: Data collected for this study were sourced from a qualitative case study design with data collected via a participant diary completed over the 24-week duration of an IYP; an exit interview after the final IYP session; and weekly records completed by the yoga teacher. Data were analysed using thematic analysis. FINDINGS: Over the course of the IYP, the female participant experienced an increased awareness of negative thoughts and feelings about MS and how it affected her and her body. As the programme progressed, she began to work through these feelings and, by the end of the programme, reported experiencing improvements in muscle tone, strength, balance, psychological wellbeing, and confidence. CONCLUSION: Our findings highlight the importance of a programme individualized to meet the complex health and psychological needs of individuals with MS.	Powell, Lesley;Cheshire, Anna	2015
26667294	The Africa Yoga Project: A Participant-Driven Concept Map of Kenyan Teachers' Reported Experiences.	OBJECTIVE: The Africa Yoga Project (AYP) trains and funds Kenyans to teach community yoga classes. Preliminary research with a small sample of AYP teachers suggested the program had a positive impact. This study used concept mapping to explore the experiences of a larger sample. METHODS: Participants brainstormed statements about how practicing and/or teaching yoga changed them. They sorted statements into self-defined piles and rated them in terms of perceived importance. Multidimensional scaling (MDS) of sort data calculated statement coordinates wherein each statement is placed in proximity to other statements as a function of how frequently statements are sorted together by participants. These results are then and mapped in a two-dimensional space. Hierarchical cluster analysis (HCA) of these data identified clusters (i.e., concepts) among statements. Cluster average importance ratings gave the concept map depth and indicated concept importance. Bridging analysis and researchers' conceptual understanding of yoga literature facilitated HCA interpretive decisions. RESULTS: Of 72 AYP teachers, 52 and 48 teachers participated in brainstorming and sorting/rating activities, respectively. Teachers brainstormed 93 statements about how they had changed. The resultant MDS statement map had adequate validity (stress value = .29). HCA created a 12-cluster solution with the following concepts of perceived change: Identity as a Yoga Teacher; Prosocial Development; Existential Possibility; Genuine Positive Regard; Value and Respect for Others (highest importance); Presence, Acceptance, and Competence; Service and Trust; Non-judgment and Emotion Regulation (lowest importance); Engagement and Connection; Interpersonal Effectiveness; Psychosocial Functioning; and Physical Competence and Security. CONCLUSIONS: Teachers perceived the AYP as facilitating change across physical, mental, and spiritual domains. Additional research is needed to quantify and compare this change to other health promotion program outcomes.	Klein, Jessalyn E;Cook-Cottone, Catherine;Giambrone, Carla	2015
26667293	Effect of Yoga-Based Intervention in Patients with Inflammatory Bowel Disease.	BACKGROUND: Inflammatory bowel disease (IBD) is a chronic illness characterized by gross inflammation in the gastrointestinal tract that can result in symptoms such as abdominal pain, cramping, diarrhea, and bloody stools. IBD is believed to be influenced by psychological factors such as stress and anxiety. Therefore, a yoga intervention that reduces stress and anxiety may be an effective complementary treatment for these disorders. MATERIAL AND METHODS: A total of 100 IBD patients [ulcerative colitis (UC) n = 60 and Crohn's disease (CD) n = 40] during the clinical remission phase of disease were included in the study. These patients were allocated randomly to either the yoga group that underwent an 8-week yoga intervention (physical postures, pranayama, and meditation) 1- hour/day in addition to standard medical therapy (UC, n = 30; CD, n = 20) or the control group (UC, n = 30; CD n = 20), which continued with standard medical therapy alone. The main outcome measures were cardiovascular autonomic functions, serum eosinophilic cationic protein, interleukin- 2 soluble receptors, Speilberger's State Trait Anxiety Inventory (STAI) scores, and clinical symptoms. RESULTS: Before the intervention, all the outcome measures were comparable in the two groups. After the 8-week yoga intervention, fewer UC patients reported arthralgia. The number of patients reporting intestinal colic pain in the control group was higher. State and trait anxiety levels were significantly reduced in patients with UC. However, no significant changes were observed in cardiovascular autonomic functions, eosinophilic cationic proteins, or interleukin-2 soluble receptors. CONCLUSIONS: A simplified yoga-based regimen is a safe and effective complementary clinical treatment modality for patients with inflammatory bowel disease during the clinical remission phase.	Sharma, Purnima;Poojary, Gopal;Dwivedi, Sada Nand;Deepak, Kishore Kumar	2015
26667292	Efficacy of a Satyananda Yoga Intervention for Reintegrating Adults Diagnosed with Posttraumatic Stress Disorder.	The prevalence of posttraumatic stress disorder (PTSD) in ex-combatants from illegal armed groups in Colombia has been estimated at 37.4%. This high prevalence indicates a need to explore alternative and adjunctive therapies in the treatment of PTSD. A randomized controlled trial was undertaken to evaluate the efficacy and safety of a protocol based on Satyananda Yoga(R) in PTSD-diagnosed reintegrating adults in Colombia. One hundred reintegrating adults (n = 50 for each of the yoga and control arms) from Bogota and Medellin participated in this study. Yoga participants engaged in a Satyananda Yoga intervention for 16 weeks while the control group continued the regular demobilization program. The Posttraumatic Stress Disorder Checklist - Civilian Version (PCL-C) was used to evaluate the effects of the applied therapy. Outcomes were assessed before entry and after the treatment. T-tests revealed a treatment effect of d = 1.15 for the yoga group and a between-groups effect size of d = .73. The difference in improvement in PCL-C scores between both groups was 18.91% (p < 0.05). The highest percentage of improvement was observed in the re-experiencing symptom cluster (23.71%; p < 0.05), with a treatment effect of d = 1.40 for the yoga group and a between-groups effect size of d = 1.15. The data suggest that Satyananda Yoga methodology is an effective therapy for reintegrating adults diagnosed with PTSD. Further research is needed in order to evaluate prolonged effects of this alternative therapy.	Quinones, Natalia;Maquet, Yvonne Gomez;Velez, Diana Maria Agudelo;Lopez, Maria Adelaida	2015
26667291	The Effects of Mindfulness-Based Movement on Parameters of Stress.	The Mindfulness-Based Stress Reduction program (MBSR) of Kabat-Zinn includes a combination of sitting meditation, yoga, and walking; thus, movement is not emphasized primarily to induce a state of awareness. The purpose of this study was to investigate the effects of a Mindfulness-Based Movement Program (MBM) in women on parameters of stress and coping; that is, in contrast to MBSR, MBM primarily emphasized yoga to cultivate awareness. This study investigated: (a) an objective measure of stress (the cortisol response to a laboratory stressor) following an 8-week MBM in year 1 participants only (n = 17; MBM group = 9; Control group = 8); (b) subjective measures of stress following an 8-week MBM in years 1 and 2 (n = 32; MBM = 16; C = 16); and (c) changes in coping style following an 8- week MBM in years 1 and 2 (n = 32; MBM = 16; C = 16). A mixed plot 2 (Group: TC or MBM) by 5 (Trial: Baseline, Stressor, Recovery 1, Recovery 2, and Recovery 3) repeated measures ANOVA was run for cortisol. Preliminary results indicated a strong trend towards a lowered cortisol response for the MBM group compared to the control group. A mixed plot 2 (Group: TC or MBM) by 2 (Time: Pretest, Post-test) repeated measures ANOVA was run for Spielberg's State Anxiety, the Perceived Stress Scale, and the Problem Focused Style of Coping Scale for the Suppressive, Reflective, and the Reactive Coping Style. There were significant main effects for time, group, and an interaction of time and group for Spielberg's State Anxiety and the Perceived Stress Scale. Significant differences were also found for time and the interaction of time and group for the Problem Focused Style of Coping for the Reflective Coping Style (p < 0.05). In conclusion, results indicate positive effects of the MBM program on perceived measures of stress and coping style in women.	Robert-McComb, Jacalyn J;Cisneros, Andrew;Tacon, Anna;Panike, Rutika;Norman, Reid;Qian, Xu-Ping;McGlone, John	2015
26667290	A Yoga Stress Reduction Intervention for University Faculty, Staff, and Graduate Students.	Yoga can be an effective intervention for physical and psychological symptoms and decreased ability to cope with physical, emotional, vocational, or academic stress. One group of individuals challenged regarding adequate self-care in the face of stress are personnel in university training programs for helping professions (e.g., psychology, nursing, nutrition). This feasibility study explored engagement in and effectiveness of a systematic 10-week yoga program aimed at university faculty, staff, and students. The intervention consisted of 10 weekly 90-minute sessions that were structured to include conceptual grounding, breathing, postures, and meditation. Weekly class outlines were made available to students for home practice. Participants signed informed consents, liability waivers, and health screenings. Self-reports of home practice, barriers to practice, perceived stress, and stress symptoms were used to evaluate whether the intervention was successful in engaging participants and reducing stress-related symptoms. Engagement was demonstrated by study adherence in the first 10-week series (88%; 44 of 50 enrolled), as well as re-enrollment for at least one additional 10-week series (64%; 28 of 44). Intervention success was demonstrated through repeated measure s ANOVAs of 44 participants' data, which showed significant improvement after a single 10-week series in perceived stress, as well as self-reported psychological, behavioral, and physical symptoms of stress. The study demonstrates feasibility of a yoga intervention in an academic setting and provides preliminary evidence for efficacy in stress reduction. It also supplies 10 detailed session protocols for intervention replication.	Brems, Christiane	2015
26667289	The Essential Properties of Yoga Questionnaire: Development and Methods.	Yoga interventions have considerable heterogeneity, are multi-dimensional, and may impact health in different ways. However, most research reports regarding the effects of yoga on health and wellbeing do not adequately describe the components of the yoga interventions being used. Thus, drawing comparisons across studies or understanding the relative effects of specific aspects of a yoga intervention are rarely possible. To address this problem, we created the Essential Properties of Yoga Questionnaire (EPYQ) Project, an NCCAM-funded set of studies to develop a translational tool for yoga researchers. Here we describe the methods and developmental processes used in the EPYQ Project in detail. The project consists of four main phases. Phase I was designed to gain a comprehensive understanding of the relevant aspects of yoga by conducting a comprehensive systematic literature review and conducting focus groups with stakeholders including a wide variety of yoga teachers and students. In Phase II, a pool of potential questionnaire items was developed for the prototypic questionnaire using information from Phase I. Cognitive interviews were conducted with the preliminary EPYQ items to assess the perceived clarity, meaning, and importance of each item. In Phase III, the prototypic questionnaire was administered to two large samples of yoga students and instructors. Military personnel and veterans who practiced or taught yoga (n = 329) were recruited to participate. Factor analysis and item response theory were used to identify factors and select the final questionnaire items. Phase IV is ongoing and will collect reliability and validity data on the final instrument. Results are expected to be available in 2016. The EPYQ will provide an objective tool for describing the amount of various components of yoga interventions, eventually allowing researchers to link specific yoga components to health benefits, and facilitating the design of yoga interventions for specific health conditions.	Groessl, Erik J;Maiya, Meghan;Elwy, A Rani;Riley, Kristen E;Sarkin, Andrew J;Eisen, Susan V;Braun, Tosca;Gutierrez, Ian;Kidane, Luwam;Park, Crystal L	2015
26667288	Incorporating Yoga Therapy into Primary Care: The Casey Health Institute.	Individuals seek complementary and alternative medicine (CAM) for a variety of health conditions, and yoga is a popular CAM modality. Over the past few decades, yoga has become incorporated into hundreds of healthcare facilities, most commonly in large university medical centers. While research has shown yoga to be effective in reducing symptoms and improving outcomes in chronic health conditions, most patients seek yoga therapy on their own, as few primary care practitioners have incorporated yoga therapy into their practices. The purpose of this article is to describe the efforts of the Casey Health Institute to incorporate yoga therapy into their primary care integrative medicine center. At Casey Health, a full-time Clinical Yoga Specialist works alongside the physicians, nurses, and CAM providers in delivering care to a wide variety of patients. The majority of referrals to yoga therapy have been for pain-related musculoskeletal conditions, as well as hypertension, headaches, anxiety, depression, and sleep disturbances. Most patients attend weekly 60-minute individual sessions, and the Clinical Yoga Specialist stays in touch with the patient between appointments via telephone and email. T h e Clinical Yoga Specialist has become an integral part of Casey Health, participating in collaborative medical appointments in which two CAM practitioners provide simultaneous treatments to a patient. She also participates in the clinic's ongoing weight loss program. The Clinical Yoga Specialist spends one morning each week "floating" in the clinic, when she is on-call to the practitioners to assist in treatment and/or to introduce a yoga therapy experience to the patients. These brief interventions introduce the patients to the therapeutic benefits of yoga, while simultaneously demonstrating yoga's effectiveness to the healthcare providers. Casey Health has developed a unique teacher training program whose faculty includes senior Iyengar yoga teachers as well as physicians and CAM practitioners. Casey Health is incorporating clinical outcomes into their electronic medical record that can be used internally to assess comparable effectiveness and cost effectiveness of the different treatment modalities such as yoga therapy, providing evidence that eventually may lead to yoga therapy becoming an accepted treatment that is eligible for insurance reimbursement.	Ross, Alyson;Williams, Laurie;Pappas-Sandonas, Mary;Touchton-Leonard, Katharine;Fogel, David	2015
26667287	The Path from Yoga Therapy in a Medical School to a School of Yoga Therapy in an Integrative Medicine Department.	We describe how yoga therapy was established within a medical school. Additionally, this paper outlines the development of a yoga therapy position as well as the implementation of a school of yoga therapy in a university-based teaching hospital.	Zador, Veronica;Zador, Lara;Anderson, Maureen;Mendez, Jennifer	2015
26667286	Yoga Research and Spirituality: A Case Study Discussion.	There is growing evidence that yoga can be beneficial as an aspect of self-care for people with arthritis. However, yoga may be less acceptable to those from different cultures, socioeconomic backgrounds, and racial/ethnic identities. While implementing a feasibility/acceptability pilot study of yoga as self-care in minority communities, the subject of spirituality surfaced. This commentary shares the experience of the researchers and yoga teachers collaborating on the study and the larger conversation that ensued following the withdrawal of one of the study participants. It is an attempt to start a relevant and needed dialogue around yoga research as an integrative health modality, and why the underlying body-mind-spirit approach to yoga may sometimes serve as a barrier to participation for diverse populations suffering from arthritis.	Middleton, Kimberly R;Andrade, Regina;Moonaz, Steffany Haaz;Muhammad, Charlene;Wallen, Gwenyth R	2015
26667285	Why Ayurvedic Yoga Therapists and Why Now?	IAYT has paved the way for yoga therapy as a healing profession to grow and develop its mission to deliver optimal therapeutics via individual sessions and tailored group classes. For the past five years, the National Ayurvedic Medical Association (NAMA) has been working behind the scenes to consider the value and definition of an ayurvedic yoga therapist (AYT) professional designation within the yoga therapy discipline. The AYT designation would complement the current standards for yoga therapists that have been published by IAYT. The purpose of this paper is to discuss (1) why the AYT designation is important; (2) how it supports and expands on IAYT's mission; and (3) why now is the appropriate time to develop competencies, standards, and a scope of practice for ayurvedic yoga therapy.	Rioux, Jennifer G	2015
26667284	Yoga Therapy: Building a Holding Environment for Somatic and Psyche Change.	Drawing on ideas from D.W. Winnicott and the work of Quaker theologian Parker Palmer, this article discusses the concept of a holding environment, its refined understanding in the literature over the years, and how it can be optimally used in yoga therapy. The evidence shows that effectively establishing a holding environment can facilitate both somatic and deep structural change in a client, facilitating healing from primal wounding as well as the potential reconnection to the true self.	McClure, Bud	2015
